--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Thu Dec  1 11:59:07 2022
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.0}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 17.5390625}
{'pid': 260, 'username': None, 'name': 'nvxdsync.exe', 'vms': 7.15234375}
{'pid': 308, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 99.48046875}
{'pid': 344, 'username': None, 'name': 'smss.exe', 'vms': 0.29296875}
{'pid': 516, 'username': None, 'name': 'nvvsvc.exe', 'vms': 5.15625}
{'pid': 536, 'username': None, 'name': 'OmniServ.exe', 'vms': 4.2890625}
{'pid': 544, 'username': None, 'name': 'csrss.exe', 'vms': 2.0078125}
{'pid': 620, 'username': None, 'name': 'csrss.exe', 'vms': 2.98046875}
{'pid': 628, 'username': None, 'name': 'wininit.exe', 'vms': 0.78515625}
{'pid': 672, 'username': None, 'name': 'winlogon.exe', 'vms': 1.453125}
{'pid': 724, 'username': None, 'name': 'services.exe', 'vms': 4.6171875}
{'pid': 732, 'username': None, 'name': 'lsass.exe', 'vms': 6.8203125}
{'pid': 800, 'username': None, 'name': 'svchost.exe', 'vms': 5.3515625}
{'pid': 816, 'username': None, 'name': 'svchost.exe', 'vms': 26.0625}
{'pid': 840, 'username': None, 'name': 'svchost.exe', 'vms': 7.48046875}
{'pid': 920, 'username': 'HP\\hp-pc', 'name': 'HPMSGSVC.exe', 'vms': 1.640625}
{'pid': 928, 'username': None, 'name': 'dwm.exe', 'vms': 34.5703125}
{'pid': 936, 'username': None, 'name': 'GamesAppIntegrationService.exe', 'vms': 1.2890625}
{'pid': 960, 'username': None, 'name': 'nvvsvc.exe', 'vms': 2.02734375}
{'pid': 1016, 'username': None, 'name': 'conhost.exe', 'vms': 0.6796875}
{'pid': 1028, 'username': None, 'name': 'svchost.exe', 'vms': 36.53515625}
{'pid': 1040, 'username': None, 'name': 'GoogleInputService.exe', 'vms': 1.0546875}
{'pid': 1100, 'username': None, 'name': 'svchost.exe', 'vms': 13.1875}
{'pid': 1164, 'username': None, 'name': 'opvapp.exe', 'vms': 1.8359375}
{'pid': 1176, 'username': None, 'name': 'igfxCUIService.exe', 'vms': 2.0703125}
{'pid': 1204, 'username': None, 'name': 'svchost.exe', 'vms': 126.59765625}
{'pid': 1232, 'username': 'HP\\hp-pc', 'name': 'pycharm64.exe', 'vms': 1982.9296875}
{'pid': 1272, 'username': 'HP\\hp-pc', 'name': 'GoogleDriveFS.exe', 'vms': 13.37890625}
{'pid': 1296, 'username': None, 'name': 'dasHost.exe', 'vms': 5.34375}
{'pid': 1396, 'username': None, 'name': 'RtkAudioService64.exe', 'vms': 1.67578125}
{'pid': 1412, 'username': None, 'name': 'RAVBg64.exe', 'vms': 5.546875}
{'pid': 1436, 'username': None, 'name': 'svchost.exe', 'vms': 6.96875}
{'pid': 1448, 'username': None, 'name': 'svchost.exe', 'vms': 15.08203125}
{'pid': 1564, 'username': None, 'name': 'wlanext.exe', 'vms': 1.4296875}
