--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Thu Dec  1 12:35:29 2022
--------------------------------------------------------------------------------
Serv.exe||4.2890625
544|csrss.exe||2.0078125
620|csrss.exe||3.0390625
628|wininit.exe||0.78515625
672|winlogon.exe||1.453125
724|services.exe||4.6171875
732|lsass.exe||6.7421875
800|svchost.exe||5.296875
816|svchost.exe||26.3125
840|svchost.exe||7.4765625
920|HPMSGSVC.exe|HP\hp-pc|1.640625
928|dwm.exe||35.4140625
936|GamesAppIntegrationService.exe||1.2890625
960|nvvsvc.exe||2.02734375
1028|svchost.exe||36.57421875
1040|GoogleInputService.exe||1.125
1100|svchost.exe||13.21875
1164|opvapp.exe||1.8359375
1176|igfxCUIService.exe||2.046875
1204|svchost.exe||120.60546875
1232|pycharm64.exe|HP\hp-pc|1996.71875
1272|GoogleDriveFS.exe|HP\hp-pc|13.37890625
1296|dasHost.exe||5.34375
1396|RtkAudioService64.exe||1.67578125
1412|RAVBg64.exe||5.546875
1436|svchost.exe||6.96875
1448|svchost.exe||15.12890625
1564|wlanext.exe||1.4296875
1572|esif_assist.exe|HP\hp-pc|1.046875
1576|conhost.exe||0.6015625
1580|esif_uf.exe||1.53125
1660|spoolsv.exe||4.453125
1688|svchost.exe||17.0390625
1708|UPDGEN2.EXE||1.15234375
1796|armsvc.exe||2.98828125
1876|taskhost.exe||21.13671875
1904|nvtray.exe|HP\hp-pc|4.03515625
1920|svchost.exe||3.27734375
1940|BTDevMgr.exe||1.68359375
1968|conhost.exe|HP\hp-pc|1.3515625
2000|UpdaterService.exe||11.578125
2060|WEBPROT2.EXE||23.36328125
2128|NPHOST.EXE||5.8046875
2180|NPProt.exe||0.83984375
2224|NvNetworkService.exe||1.33984375
2288|nvstreamsvc.exe||3.6171875
2352|nvstreamsvc.exe||5.38671875
2372|SynTPEnhService.exe||0.78125
2536|IAStorDataMgrSvc.exe||40.05859375
2560|nvstreamsvc.exe||3.33984375
2568|conhost.exe||0.71875
2668|taskhostex.exe|HP\hp-pc|5.65234375
2764|HPSupportSolutionsFrameworkService.exe||35.109375
2888|RtkNGUI64.exe|HP\hp-pc|8.2734375
2892|jhi_service.exe||0.96484375
3040|WUDFHost.exe||22.69921875
3076|ZVCMD64.EXE||0.55859375
3088|conhost.exe||0.61328125
3116|svchost.exe||0.8671875
3148|svchost.exe||5.58984375
3216|conhost.exe|HP\hp-pc|0.93359375
3244|GoogleCrashHandler64.exe||1.27734375
3304|WmiPrvSE.exe||24.77734375
3340|crashpad_handler.exe|HP\hp-pc|1.11328125
3380|conhost.exe||0.859375
3580|cmd.exe|HP\hp-pc|1.62890625
3624|GoogleCrashHandler.exe||1.33984375
3672|LMS.exe||3.84375
3696|AcroRd32.exe|HP\hp-pc|75.34375
3764|GoogleInputHandler.exe|HP\hp-pc|5.4609375
3984|EMON.EXE||11.94140625
4128|EMAILSCN.EXE|HP\hp-pc|11.05078125
4172|ClientCore.exe|HP\hp-pc|3.62890625
4184|OPBHOBrokerDsktop.exe|HP\hp-pc|2.3125
4196|SynTPHelper.exe|HP\hp-pc|0.76171875
4228|NPDEC.EXE||9.671875
4304|NvBackend.exe|HP\hp-pc|12.234375
4312|chrome.exe|HP\hp-pc|1.8359375
4636|SynTPEnh.exe|HP\hp-pc|5.63671875
4648|RdrCEF.exe|HP\hp-pc|32.63671875
4652|explorer.exe|HP\hp-pc|129.05078125
4748|igfxHK.exe|HP\hp-pc|1.93359375
4760|igfxEM.exe|HP\hp-pc|3.65234375
4892|AuthManSvr.exe|HP\hp-pc|3.73828125
4940|NPAV4.EXE|HP\hp-pc|4.1484375
4976|PresentationFontCache.exe||24.6875
4996|YouCamService.exe|HP\hp-pc|4.87109375
5004|OPBHOBroker.exe|HP\hp-pc|2.171875
5020|CoolSense.exe|HP\hp-pc|1.88671875
5028|conhost.exe|HP\hp-pc|0.77734375
5040|audiodg.exe||24.984375
5264|SynciosDeviceService.exe|HP\hp-pc|4.828125
5316|concentr.exe|HP\hp-pc|9.36328125
5356|crashpad_handler.exe|HP\hp-pc|1.19140625
5404|redirector.exe|HP\hp-pc|1.6015625
5460|androidnotifier.exe|HP\hp-pc|1.22265625
5516|jusched.exe|HP\hp-pc|3.9921875
5572|Receiver.exe|HP\hp-pc|10.1171875
5764|fsnotifier.exe|HP\hp-pc|0.38671875
5832|wfcrun32.exe|HP\hp-pc|4.44140625
5872|ZVMonNt.exe||27.49609375
5944|SettingSyncHost.exe|HP\hp-pc|13.62109375
6180|adb.exe|HP\hp-pc|1.72265625
6296|jucheck.exe|HP\hp-pc|3.79296875
6444|wmplayer.exe|HP\hp-pc|46.703125
6572|GZIP.EXE|HP\hp-pc|0.85546875
6776|hpqwmiex.exe||1.54296875
7044|ZVMOUNT.EXE|HP\hp-pc|2.453125
7100|PROCES~2.EXE|HP\hp-pc|8.55078125
7760|RdrCEF.exe|HP\hp-pc|32.6484375
8116|chrome.exe|HP\hp-pc|8.41796875
8144|GoogleDriveFS.exe|HP\hp-pc|12.4609375
8380|RdrCEF.exe|HP\hp-pc|5.859375
8852|chrome.exe|HP\hp-pc|6.9921875
8928|RdrCEF.exe|HP\hp-pc|14.7265625
8960|SearchIndexer.exe||30.3125
9484|APCONSVC.EXE||13.93359375
9680|wuauclt.exe|HP\hp-pc|1.5078125
10056|conhost.exe||0.66796875
10436|WmiPrvSE.exe||4.47265625
10448|GoogleDriveFS.exe|HP\hp-pc|37.44921875
10740|taskhost.exe|HP\hp-pc|6.09375
11060|chrome.exe|HP\hp-pc|184.734375
11196|DropboxOEM.exe|HP\hp-pc|66.42578125
11452|NPJUNKC.EXE|HP\hp-pc|1.55859375
11476|cmd.exe|HP\hp-pc|1.57421875
11684|WmiPrvSE.exe||3.28515625
11700|chrome.exe|HP\hp-pc|42.73046875
11924|CHFOL.EXE|HP\hp-pc|5.40234375
11952|python.exe|HP\hp-pc|135.0390625
12128|chrome.exe|HP\hp-pc|15.09375
12356|GoogleDriveFS.exe|HP\hp-pc|13.421875
13472|chrome.exe|HP\hp-pc|71.94921875
14024|chrome.exe|HP\hp-pc|78.90625
14088|GoogleDriveFS.exe|HP\hp-pc|24.13671875
14232|chrome.exe|HP\hp-pc|34.5703125
14400|RdrCEF.exe|HP\hp-pc|8.63671875
14472|chrome.exe|HP\hp-pc|15.20703125
14720|chrome.exe|HP\hp-pc|17.2265625
14832|python.exe|HP\hp-pc|5.15625
15016|chrome.exe|HP\hp-pc|175.265625
15044|GoogleDriveFS.exe|HP\hp-pc|29.1953125
15340|chrome.exe|HP\hp-pc|39.4609375
16328|NPAVIDS.EXE||6.28125
16500|RdrCEF.exe|HP\hp-pc|53.79296875
16664|GoogleDriveFS.exe|HP\hp-pc|18.25
16836|chrome.exe|HP\hp-pc|13.23046875
16872|conhost.exe|HP\hp-pc|0.9296875
17548|chrome.exe|HP\hp-pc|7.77734375
18480|NPDATABKP.EXE|HP\hp-pc|2.765625
18520|crashpad_handler.exe|HP\hp-pc|1.0546875
18564|conhost.exe|HP\hp-pc|1.05859375
19008|dllhost.exe||1.84765625
19040|chrome.exe|HP\hp-pc|44.0859375
19076|RdrCEF.exe|HP\hp-pc|29.3671875
19232|RdrCEF.exe|HP\hp-pc|32.984375
19300|AcroRd32.exe|HP\hp-pc|35.078125
